#
## fault_report.txt
## File generated by TOOL:	xfr(64)	20.09-s001 on Jan 08, 2024 at 00:42:00 WET
#

{ <list of fault nodes> } <fault_seed> <fault_type> <fault injection time> <finish time> <result> <id equiv> <test> <seed>
"testbench_bist.top_level.clock"    0    SA0    0fs    5us    <STOPPED,POTENTIALLY_DETECTED:5us>	<1 NA>	"NA"	NA
"testbench_bist.top_level.clock"    0    SA1    0fs    135685us    <STOPPED,DETECTED:135685us>	<2 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_118"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<3 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_118"    NA    SA1    NA    NA    <NOT_RUN,DETECTED:NA>	<5 4>	"NA"	NA
"testbench_bist.top_level.n_228"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<4 NA>	"NA"	NA
"testbench_bist.top_level.n_228"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<6 NA>	"NA"	NA
"testbench_bist.top_level.scan_in"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<7 NA>	"NA"	NA
"testbench_bist.top_level.scan_in"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<8 NA>	"NA"	NA
"testbench_bist.top_level.n_250"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<9 NA>	"NA"	NA
"testbench_bist.top_level.n_250"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<10 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_coda0[0]"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<11 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_coda0[0]"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<12 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_21"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<13 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_21"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<14 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_107"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<15 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_107"    NA    SA1    NA    NA    <NOT_RUN,DETECTED:NA>	<17 16>	"NA"	NA
"testbench_bist.top_level.n_238"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<16 NA>	"NA"	NA
"testbench_bist.top_level.n_238"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<18 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_coda0[1]"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<19 NA>	"NA"	NA
